challenge,tgen,tsplit,tsign,tver,resWithNonces
0,15.261,59.781,35.415,31.86,SUCCESS
2,15.365,33.174,19.061,25.534,SUCCESS
2,10.736,28.479,20.975,27.09,SUCCESS
2,15.462,41.739,30.997,41.144,SUCCESS
1,13.306,29.125,19.134,25.067,SUCCESS
2,10.118,29.19,21.136,24.692,SUCCESS
0,15.89,54.31,29.101,41.565,SUCCESS
0,11.699,27.889,19.873,25.006,SUCCESS
1,11.382,31.554,20.994,25.024,SUCCESS
1,14.617,45.22,25.979,31.386,SUCCESS
2,14.903,53.184,26.349,27.667,SUCCESS
2,17.711,33.395,21.471,28.668,SUCCESS
0,17.437,50.693,30.539,38.892,SUCCESS
0,12.242,27.156,19.907,23.078,SUCCESS
0,18.964,42.527,26.64,26.346,SUCCESS
1,11.591,30.972,20.036,25.896,SUCCESS
2,14.458,39.844,26.188,34.229,SUCCESS
2,18.519,53.224,27.624,31.905,SUCCESS
0,15.961,31.312,20.125,23.547,SUCCESS
1,11.523,32.616,22.366,33.9,SUCCESS
2,15.647,50.846,28.444,41.857,SUCCESS
0,10.759,27.535,19.528,21.101,SUCCESS
2,10.88,30.54,21.05,31.221,SUCCESS
2,15.648,53.007,27.662,38.152,SUCCESS
1,10.753,29.294,22.814,25.703,SUCCESS
2,11.912,26.078,19.981,25.054,SUCCESS
2,14.572,40.854,29.668,53.399,SUCCESS
0,16.895,40.597,32.339,28.125,SUCCESS
1,12.072,28.886,20.185,25.47,SUCCESS
2,21.166,53.235,33.845,35.25,SUCCESS
1,10.575,27.958,18.47,24.154,SUCCESS
0,15.486,39.165,19.522,23.298,SUCCESS
0,12.14,29.088,22.733,24.232,SUCCESS
0,18.135,53.41,27.078,30.364,SUCCESS
0,14.465,40.514,28.747,27.189,SUCCESS
1,14.265,38.808,21.423,26.438,SUCCESS
1,18.43,36.315,26.31,32.202,SUCCESS
0,31.373,47.673,25.164,42.611,SUCCESS
1,11.435,27.746,19.794,26.392,SUCCESS
2,12.792,39.025,27.426,35.14,SUCCESS
1,16.853,46.235,30.73,33.097,SUCCESS
0,14.204,31.992,19.207,22.644,SUCCESS
1,11.022,30.638,19.551,29.456,SUCCESS
2,14.719,48.626,28.26,36.249,SUCCESS
2,11.466,28.281,18.95,25.121,SUCCESS
1,12.617,27.614,21.126,24.771,SUCCESS
2,11.801,31.063,26.445,31.959,SUCCESS
1,13.664,29.239,20.45,24.782,SUCCESS
0,15.092,36.64,24.146,22.286,SUCCESS
2,11.272,36.264,21.495,26.24,SUCCESS
2,16.971,50.021,27.121,32.723,SUCCESS
0,15.334,39.558,25.733,29.574,SUCCESS
0,13.78,46.848,22.466,27.583,SUCCESS
1,12.082,32.179,23.584,31.828,SUCCESS
2,23.431,41.531,33.225,42.926,SUCCESS
2,13.304,29.748,18.889,24.292,SUCCESS
1,12.504,32.574,19.603,29.131,SUCCESS
2,16.506,50.298,30.972,36.057,SUCCESS
1,12.217,33.425,19.299,25.175,SUCCESS
2,11.707,29.389,20.081,23.973,SUCCESS
2,15.813,53.925,30.704,36.952,SUCCESS
1,14.904,34.654,19.318,22.957,SUCCESS
1,11.491,30.258,19.932,25.002,SUCCESS
0,16.078,48.537,30.569,37.585,SUCCESS
2,10.47,26.17,19.431,24.067,SUCCESS
0,18.514,31.47,19.463,24.044,SUCCESS
1,12.478,39.43,21.438,26.942,SUCCESS
1,15.121,36.977,25.637,31.114,SUCCESS
0,16.593,40.874,18.772,24.904,SUCCESS
2,13.967,32.715,22.527,27.107,SUCCESS
1,18.326,44.112,27.322,34.871,SUCCESS
2,15.706,32.821,21.37,23.69,SUCCESS
2,11.076,27.825,19.507,23.712,SUCCESS
