Name,logn,logq,RealRes,RealResPol,result,error,errorPol,tinit,tcsv,tenc,tdist,tdec,in_mean,in_std,in_min,in_max
Data/dataUsedFor1k/MAC000003.txt22,12,106,100.413500,112.749541,112.700572,12.236474,-0.043432,138.348324,17.568105,109.698513,1056.785930,75.663151,0.235660,0.457800,0.000000,2.694000
Data/dataUsedFor1k/MAC000003.txt23,12,106,86.104100,95.768379,95.825119,11.289845,0.059248,138.348324,17.568105,109.698513,1056.785930,75.663151,0.206003,0.389821,0.000000,2.719000
Data/dataUsedFor1k/MAC000003.txt24,12,106,122.269300,142.140294,142.085019,16.206619,-0.038888,138.348324,17.568105,109.698513,1056.785930,75.663151,0.280204,0.570919,0.000000,2.964000
Data/dataUsedFor1k/MAC000003.txt25,12,106,140.224600,163.945412,163.912750,16.893006,-0.019922,138.348324,17.568105,109.698513,1056.785930,75.663151,0.315971,0.633413,0.000000,3.000000
Data/dataUsedFor1k/MAC000004.txt0,12,106,8.461800,19.114147,19.184291,126.716429,0.366975,152.695961,21.075096,92.487390,968.634153,105.052422,0.020659,0.056939,0.000000,0.309000
Data/dataUsedFor1k/MAC000004.txt1,12,106,8.985400,19.542465,19.478842,116.783246,-0.325564,152.695961,21.075096,92.487390,968.634153,105.052422,0.021937,0.060395,0.000000,0.834000
Data/dataUsedFor1k/MAC000004.txt2,12,106,8.279000,18.970504,19.042427,130.008780,0.379131,152.695961,21.075096,92.487390,968.634153,105.052422,0.020212,0.056125,0.000000,0.464000
Data/dataUsedFor1k/MAC000004.txt3,12,106,8.447600,19.101224,19.123251,126.374964,0.115318,152.695961,21.075096,92.487390,968.634153,105.052422,0.020624,0.056744,0.000000,0.321000
Data/dataUsedFor1k/MAC000004.txt4,12,106,8.715000,19.324928,19.359556,122.140629,0.179190,152.695961,21.075096,92.487390,968.634153,105.052422,0.021277,0.058905,0.000000,0.305000
Data/dataUsedFor1k/MAC000004.txt5,12,106,11.030800,21.275656,21.359284,93.633139,0.393068,152.695961,21.075096,92.487390,968.634153,105.052422,0.026931,0.075575,0.000000,0.820000
Data/dataUsedFor1k/MAC000004.txt6,12,106,10.465200,20.729961,20.896604,99.677064,0.803877,152.695961,21.075096,92.487390,968.634153,105.052422,0.025550,0.067672,0.000000,0.670000
Data/dataUsedFor1k/MAC000004.txt7,12,106,9.945600,20.269438,20.276436,103.873429,0.034521,152.695961,21.075096,92.487390,968.634153,105.052422,0.024281,0.062320,0.000000,0.318000
Data/dataUsedFor1k/MAC000004.txt8,12,106,11.266200,21.400502,21.404713,89.990529,0.019675,152.695961,21.075096,92.487390,968.634153,105.052422,0.027505,0.072868,0.000000,1.065000
Data/dataUsedFor1k/MAC000004.txt9,12,106,11.552000,21.655033,21.642186,87.345794,-0.059326,152.695961,21.075096,92.487390,968.634153,105.052422,0.028203,0.075489,0.000000,0.690000
Data/dataUsedFor1k/MAC000004.txt10,12,106,9.841000,20.175814,20.200086,105.264563,0.120299,152.695961,21.075096,92.487390,968.634153,105.052422,0.024026,0.061120,0.000000,0.293000
